,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt?,DKPt,FDPt,VBD,PosRank,OvRank
159,Jackie Battle\BattJa00,KAN,RB,28,15,4,0,0,0,0,0,149,597,4.01,2,13,9,68,7.56,0,79,90.5,83,,46,
160,Josh Cribbs\CribJo01,CLE,RB,28,16,7,0,0,0,0,0,7,25,3.57,0,67,41,518,12.63,4,78,126.8,101.8,,47,
161,Mario Manningham\MannMa01,NYG,WR,25,12,10,0,0,0,0,0,0,0,,0,77,39,523,13.41,4,76,118.3,95.8,,60,
162,Heath Miller\MillHe00,PIT,TE,29,16,16,0,0,0,0,0,1,6,6,0,74,51,631,12.37,2,76,129.2,100.2,,20,
163,Scott Chandler\ChanSc00,BUF,TE,26,14,9,0,0,0,0,0,0,0,,0,46,38,389,10.24,6,75,115.4,92.9,,22,
164,Dezmon Briscoe\BrisDe00,TAM,WR,22,16,2,0,0,0,0,0,0,0,,0,51,35,387,11.06,6,75,112.7,92.2,,61,
165,Anthony Fasano\FasaAn00,MIA,TE,27,15,15,0,0,0,0,0,0,0,,0,54,32,451,14.09,5,75,110.1,91.1,,21,
166,Jason Avant\AvanJa00,PHI,WR,28,16,7,0,0,0,0,0,0,0,,0,81,52,679,13.06,1,74,127.9,97.9,,62,
167,Isaac Redman\RedmIs20,PIT,RB,27,16,1,0,0,0,0,0,110,479,4.35,3,22,18,78,4.33,0,74,93.7,80.7,,48,
168,Tony Scheffler\ScheTo00,DET,TE,28,15,5,0,0,0,0,0,1,5,5,0,43,26,347,13.35,6,73,101.7,85.2,,23,
169,Preston Parker\ParkPr00,TAM,WR,24,16,0,0,0,0,0,0,1,-3,-3,0,65,40,554,13.85,3,73,112.1,85.1,,64,
170,Davone Bess\BessDa00,MIA,WR,26,16,4,0,0,0,0,0,2,9,4.5,0,86,51,537,10.53,3,73,124.1,93.1,,65,
171,Andre Roberts\RobeAn00,ARI,WR,23,16,16,0,0,0,0,0,3,27,9,0,98,51,586,11.49,2,73,126.8,97.8,,63,
172,Joel Dreessen\DreeJo00,HOU,TE,29,16,10,0,0,0,0,0,0,0,,0,39,28,353,12.61,6,71,102.3,85.3,,24,
173,Daniel Thomas\ThomDa03,MIA,RB,24,13,2,0,0,0,0,0,165,581,3.52,0,16,12,72,6,1,71,85.3,75.3,,49,
174,Jeremy Shockey\ShocJe00,CAR,TE,31,15,13,0,0,0,0,0,0,0,,0,62,37,455,12.3,4,70,108.5,86,,25,
