,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
370,Jaelen Strong\StroJa01,HOU,WR,22,8,2,0,0,0,0,0,0,0,,0,24,14,131,9.36,0,13,30.1,20.1,,143,
371,Larry Donnell\DonnLa00,NYG,TE,28,14,6,0,0,0,0,0,0,0,,0,22,15,92,6.13,1,13,29.2,20.7,,67,
372,John Phillips\PhilJo00,2TM,TE,29,16,7,0,0,0,0,0,0,0,,0,14,10,72,7.2,1,13,23.2,18.2,,66,
373,Crockett Gillmore\GillCr00,BAL,TE,25,7,5,0,0,0,0,0,0,0,,0,14,8,71,8.88,1,13,21.1,17.1,,68,
374,Rhett Ellison\ElliRh00,MIN,TE,28,15,6,0,0,0,0,0,1,1,1,1,14,9,57,6.33,0,12,20.8,16.3,,72,
375,Brandon Myers\MyerBr00,TAM,TE,31,16,9,0,0,0,0,0,0,0,,0,14,7,59,8.43,1,12,20.9,17.4,,71,
376,Jordan Cameron\CameJo00,MIA,TE,28,3,3,0,0,0,0,0,0,0,,0,11,8,60,7.5,1,12,20,16,,70,
377,Dominique Jones\JoneDo01,MIA,TE,29,9,2,0,0,0,0,0,0,0,,0,10,7,61,8.71,1,12,19.1,15.6,,69,
378,Brittan Golden\GoldBr00,ARI,WR,28,12,1,0,0,0,0,0,0,0,,0,14,8,82,10.25,1,12,21.2,16.2,,146,
379,Mike Davis\DaviMi01,SFO,RB,23,8,1,0,0,0,0,0,19,50,2.63,1,5,3,25,8.33,0,12,15.5,13,,109,
380,Markus Wheaton\WheaMa00,PIT,WR,25,3,2,0,0,0,0,0,0,0,,0,9,4,51,12.75,1,11,17.1,15.1,,147,
381,Nick O'Leary\OLeaNi00,BUF,TE,24,16,7,0,0,0,0,0,0,0,,0,14,9,114,12.67,0,11,25.4,17.9,,73,
382,Neal Sterling\SterNe00,JAX,TE,24,10,1,0,0,0,0,0,0,0,,0,16,12,110,9.17,0,11,26,17,,74,
383,Lucky Whitehead\WhitLu00,DAL,WR,24,15,1,0,0,0,0,0,10,82,8.2,0,3,3,48,16,0,11,15,12.5,,148,
384,Jonathan Williams\WillJo07,BUF,RB,22,10,0,0,1,0,0,0,27,94,3.48,1,2,1,0,0,0,11,14.4,11.9,,110,
385,Jamaal Charles\CharJa00,KAN,RB,30,3,0,0,0,0,0,0,12,40,3.33,1,3,2,14,7,0,11,13.4,12.4,,111,
386,Patrick DiMarco\DiMaPa00,ATL,RB,27,16,8,0,0,0,0,0,0,0,,0,10,7,52,7.43,1,11,18.2,14.7,,112,
387,Alan Cross\CrosAl00,TAM,TE,23,14,0,0,0,0,0,0,0,0,,0,10,6,38,6.33,1,10,15.8,12.8,,76,
388,Demarcus Ayers\AyerDe00,PIT,WR,22,2,1,0,0,0,0,0,2,-12,-6,0,13,6,53,8.83,1,10,16.1,13.1,,149,
389,James Wright\WrigJa03,CIN,WR,25,13,2,0,0,0,0,0,2,-6,-3,0,19,13,106,8.15,0,10,26,16.5,,150,
390,Jeremy Ross\RossJe01,2TM,WR,28,6,1,0,0,0,0,0,0,0,,0,4,4,37,9.25,1,10,13.7,11.7,,151,
391,Darren McFadden\McFaDa00,DAL,RB,29,4,2,0,0,0,0,0,24,87,3.63,0,5,3,17,5.67,0,10,13.4,11.9,,113,
392,Shaun Hill\HillSh00,MIN,QB,36,3,1,19,35,242,0,0,5,5,1,0,0,0,0,,0,10,10.2,10.2,,50,
393,Antone Smith\SmitAn01,TAM,RB,31,3,0,0,0,0,0,0,10,47,4.7,0,9,6,77,12.83,0,10,17.4,13.4,,114,
394,Joshua Perkins\PerkJo02,ATL,TE,23,8,1,0,0,0,0,0,0,0,,0,5,3,42,14,1,10,13.2,11.7,,75,
395,Pharoh Cooper\CoopPh00,LAR,WR,21,10,3,0,1,0,0,1,0,0,,0,20,14,106,7.57,0,9,26.6,16.6,,156,
396,Gavin Escobar\EscoGa00,DAL,TE,25,16,1,0,0,0,0,0,0,0,,0,7,4,30,7.5,1,9,13,11,,78,
397,Derek Watt\WattDe00,SDG,RB,24,16,2,0,0,0,0,0,2,4,2,0,4,4,83,20.75,0,9,12.7,10.7,,118,
398,Juwan Thompson\ThomJu01,DEN,RB,24,8,1,0,0,0,0,0,8,26,3.25,1,1,0,0,,0,9,8.6,8.6,,120,
399,Andre Williams\WillAn00,SDG,RB,24,1,0,0,0,0,0,0,18,87,4.83,0,2,0,0,,0,9,8.7,8.7,,119,
400,Fitzgerald Toussaint\TousFi00,PIT,RB,26,16,0,0,0,0,0,0,14,58,4.14,0,3,3,33,11,0,9,12.1,10.6,,117,
401,Tyler Kroft\KrofTy00,CIN,TE,24,14,11,0,0,0,0,0,0,0,,0,12,10,92,9.2,0,9,19.2,14.2,,77,
402,Leonte Carroo\CarrLe00,MIA,WR,22,14,2,0,0,0,0,0,0,0,,0,6,3,29,9.67,1,9,11.9,10.4,,153,
403,George Atkinson\AtkiGe01,CLE,RB,24,16,0,0,0,0,0,0,7,34,4.86,1,0,0,0,,0,9,9.4,9.4,,115,
404,Tommylee Lewis\LewiTo00,NOR,WR,24,12,1,0,0,0,0,0,3,11,3.67,0,11,7,76,10.86,0,9,15.7,12.2,,155,
405,Bryce Treggs\TregBr00,PHI,WR,22,9,1,0,0,0,0,0,2,7,3.5,0,12,3,80,26.67,0,9,11.7,10.2,,154,
406,Scott Tolzien\TolzSc00,IND,QB,29,3,1,23,37,216,1,2,6,3,0.5,0,0,0,0,,0,9,10.9,10.9,,53,
407,Blake Bell\BellBl00,SFO,TE,25,13,0,0,0,0,0,0,0,0,,0,9,4,85,21.25,0,9,12.5,10.5,,79,
408,T.J. Jones\JoneT.00,DET,WR,24,3,0,0,0,0,0,0,0,0,,0,14,5,93,18.6,0,9,14.3,11.8,,152,
409,Charlie Whitehurst\WhitCh02,CLE,QB,34,1,0,14,24,182,1,1,2,1,0.5,0,0,0,0,,0,9,10.4,10.4,,51,
410,Terrell Watson\WatsTe00,PHI,RB,23,1,0,0,0,0,0,0,9,28,3.11,1,1,1,5,5,0,9,10.3,9.8,,116,
411,Drew Stanton\StanDr00,ARI,QB,32,5,1,19,48,192,2,3,3,-3,-1,0,0,0,0,,0,9,12.4,12.4,,52,
412,Trevone Boykin\BoykTr00,SEA,QB,23,6,0,13,18,145,1,1,8,1,0.13,0,0,0,0,,0,8,8.9,8.9,,55,
413,Matt Lengel\LengMa00,NWE,TE,26,6,0,0,0,0,0,0,0,0,,0,3,2,22,11,1,8,10.2,9.2,,80,
414,Rashard Higgins\HiggRa00,CLE,WR,22,16,0,0,0,0,0,0,0,0,,0,12,6,77,12.83,0,8,13.7,10.7,,157,
415,Cody Latimer\LatiCo00,DEN,WR,24,12,1,0,0,0,0,0,0,0,,0,15,8,76,9.5,0,8,15.6,11.6,,159,
416,Ryan Grant\GranRy01,WAS,WR,26,16,1,0,0,0,0,0,0,0,,0,19,9,76,8.44,0,8,16.6,12.1,,158,
417,David Johnson\JohnDa05,PIT,TE,29,16,4,0,0,0,0,0,0,0,,0,11,7,80,11.43,0,8,17,13.5,,81,
418,Wendall Williams\WillWe00,HOU,WR,26,3,0,0,0,0,0,0,0,0,,0,7,4,75,18.75,0,8,11.5,9.5,,160,
419,Connor Hamlett\HamlCo01,CLE,TE,24,3,2,0,0,0,0,0,0,0,,0,1,1,17,17,1,8,8.7,8.2,,82,
420,Geno Smith\SmitGe00,NYJ,QB,26,2,1,8,14,126,1,1,2,9,4.5,0,0,0,0,,0,8,8.9,8.9,,54,
421,Jerome Felton\FeltJe00,BUF,RB,30,15,4,0,0,0,0,0,8,13,1.63,0,9,6,57,9.5,0,7,13,10,,123,
422,Keith Mumphery\MumpKe00,HOU,WR,24,11,3,0,0,0,0,0,0,0,,0,12,10,69,6.9,0,7,16.9,11.9,,163,
423,Aaron Burbridge\BurbAa00,SFO,WR,23,16,3,0,0,0,0,0,0,0,,0,16,7,88,12.57,0,7,14.8,10.3,,164,
424,Maurice Harris\HarrMa05,WAS,WR,24,10,0,0,0,0,0,0,0,0,,0,12,8,66,8.25,0,7,14.6,10.6,,166,
425,Josh Doctson\DoctJo00,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,6,2,66,33,0,7,8.6,7.6,,165,
426,Chris Moore\MoorCh00,BAL,WR,23,15,0,0,0,0,0,0,3,19,6.33,0,16,7,46,6.57,0,7,19.5,16,,167,
427,Malcolm Brown\BrowMa03,LAR,RB,,16,0,0,0,0,0,0,18,39,2.17,0,3,3,46,15.33,0,7,10.5,8,,124,
428,Geoff Swaim\SwaiGe00,DAL,TE,25,9,6,0,0,0,0,0,0,0,,0,8,6,69,11.5,0,7,12.9,9.9,,83,
429,Alex Erickson\EricAl01,CIN,WR,24,16,0,0,0,0,0,0,0,0,,0,8,6,71,11.83,0,7,13.1,10.1,,162,
430,Michael Campanaro\CampMi02,BAL,WR,25,3,0,0,0,0,0,0,3,72,24,0,1,0,0,,0,7,7.2,7.2,,161,
431,Marcel Reece\ReecMa00,SEA,RB,31,4,0,0,0,0,0,0,2,0,0,0,5,5,72,14.4,0,7,14.2,11.7,,122,
432,Byron Marshall\MarsBy01,PHI,RB,22,3,0,0,0,0,0,0,19,64,3.37,0,5,3,10,3.33,0,7,10.4,8.9,,121,
433,Mike Glennon\GlenMi00,TAM,QB,27,2,0,10,11,75,1,0,0,0,,0,0,0,0,,0,7,7,7,,56,
434,Jordan Todman\TodmJo00,IND,RB,26,16,0,0,0,0,0,0,9,59,6.56,0,1,0,0,,0,6,11.9,11.9,,126,
435,Adrian Peterson\PeteAd01,MIN,RB,31,3,3,0,0,0,0,0,37,72,1.95,0,6,3,8,2.67,0,6,10,7.5,,125,
436,D.J. Tialavea\TialD.00,ATL,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,6,7.1,6.6,,86,
437,Johnny Holton\HoltJo00,OAK,WR,25,15,0,0,0,0,0,0,6,43,7.17,0,3,2,34,17,0,6,8.7,6.7,,172,
438,Nick Williams\WillNi02,ATL,WR,26,2,0,0,0,0,0,0,0,0,,0,7,5,59,11.8,0,6,10.9,8.4,,171,
439,Keenan Allen\AlleKe00,SDG,WR,24,1,1,0,0,0,0,0,0,0,,0,7,6,63,10.5,0,6,12.3,9.3,,170,
440,De'Anthony Thomas\ThomDe05,KAN,WR,23,12,0,0,0,0,0,0,4,29,7.25,0,9,7,35,5,0,6,13.4,9.9,,169,
441,Trevor Davis\DaviTr03,GNB,WR,23,11,0,0,0,0,0,0,0,0,,0,7,3,24,8,1,6,10.4,7.9,,168,
442,Connor Cook\CookCo00,OAK,QB,23,1,0,14,21,150,1,1,0,0,,0,0,0,0,,0,6,8,7,,57,
443,Phillip Supernaw\SupePh00,TEN,TE,26,15,2,0,0,0,0,0,0,0,,0,5,4,62,15.5,0,6,10.2,8.2,,85,
444,Brandon Bostick\BostBr00,NYJ,TE,27,16,7,0,0,0,0,0,0,0,,0,11,8,63,7.88,0,6,14.3,10.3,,84,
445,Jace Amaro\AmarJa00,TEN,TE,24,3,0,0,0,0,0,0,0,0,,0,4,3,59,19.67,0,6,8.9,7.4,,87,
446,Ifeanyi Momah\MomaIf00,ARI,TE,27,5,1,0,0,0,0,0,0,0,,0,4,2,50,25,0,5,7,6,,88,
447,Javorius Allen\AlleJa01,BAL,RB,25,8,0,0,0,0,0,0,9,34,3.78,0,4,3,15,5,0,5,7.9,6.4,,128,
448,Tony Romo\RomoTo00,DAL,QB,36,1,0,3,4,29,1,0,0,0,,0,0,0,0,,0,5,5.2,5.2,,59,
449,Troymaine Pope\PopeTr00,2TM,RB,23,4,0,0,0,0,0,0,12,44,3.67,0,2,1,5,5,0,5,5.9,5.4,,129,
450,Dwayne Harris\HarrDw00,NYG,WR,29,16,1,0,0,0,0,0,0,0,,0,1,1,13,13,1,5,7.3,5.8,,173,
451,Knile Davis\DaviKn00,2TM,RB,25,11,0,0,0,0,0,0,18,28,1.56,0,7,5,25,5,0,5,10.3,7.8,,127,
452,Tavarres King\KingTa00,NYG,WR,26,6,0,0,0,0,0,0,0,0,,0,4,2,50,25,0,5,7,6,,174,
453,Brandon Wilds\WildBr01,NYJ,RB,23,4,0,0,0,0,0,0,10,27,2.7,0,2,2,20,10,0,5,6.7,5.7,,130,
454,EJ Manuel\ManuEJ00,BUF,QB,26,7,1,11,26,131,0,0,8,22,2.75,0,0,0,0,,0,5,6.4,5.4,,58,
455,Nick Boyle\BoylNi00,BAL,TE,23,6,0,0,0,0,0,0,0,0,,0,6,6,44,7.33,0,4,10.4,7.4,,89,
456,Ben Braunecker\BrauBe00,CHI,TE,22,13,2,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,4,8.1,6.1,,90,
457,Brandon Williams\WillBr04,SEA,TE,29,16,1,0,0,0,0,0,0,0,,0,3,2,36,18,0,4,5.6,4.6,,91,
458,Bradley Marquez\MarqBr00,LAR,WR,24,14,0,0,0,0,0,0,1,2,2,0,7,3,37,12.33,0,4,6.9,5.4,,176,
459,Taiwan Jones\JoneTa00,OAK,RB,28,13,0,0,0,0,0,0,1,-8,-8,0,4,4,43,10.75,0,4,7.5,5.5,,134,
460,Dexter McCluster\McClDe00,SDG,RB,28,6,0,0,0,0,0,0,3,2,0.67,0,11,7,36,5.14,0,4,10.8,7.3,,133,
461,Quan Bray\BrayQu00,IND,WR,23,6,0,0,0,0,0,0,1,7,7,0,4,3,36,12,0,4,7.3,5.8,,175,
462,Mike James\JameMi00,TAM,RB,25,4,0,0,0,0,0,0,4,19,4.75,0,4,4,22,5.5,0,4,8.1,6.1,,132,
463,Justin Perillo\PeriJu00,GNB,TE,25,8,1,0,0,0,0,0,0,0,,0,5,4,35,8.75,0,4,7.5,5.5,,92,
464,Daniel Lasco\LascDa00,NOR,RB,24,7,0,0,0,0,0,0,11,32,2.91,0,4,2,11,5.5,0,4,6.3,5.3,,131,
465,Keith Smith\SmitKe03,DAL,RB,24,16,1,0,0,0,0,0,2,5,2.5,0,4,3,20,6.67,0,3,5.5,4,,140,
466,Dan Vitale\VitaDa00,CLE,RB,22,9,3,0,0,0,0,0,0,0,,0,5,4,27,6.75,0,3,6.7,4.7,,137,
467,D.J. Foster\FostD.01,NWE,RB,23,3,0,0,0,0,0,0,7,24,3.43,0,2,1,2,2,0,3,3.6,3.1,,138,
468,Malcolm Johnson\JohnMa06,CLE,RB,24,7,1,0,0,0,0,0,1,2,2,0,7,5,44,8.8,0,3,8.6,5.1,,139,
469,Isaiah Pead\PeadIs00,MIA,RB,27,3,0,0,0,0,0,0,8,22,2.75,0,1,1,6,6,0,3,3.8,3.3,,136,
470,Don Jackson\JackDo01,GNB,RB,23,3,1,0,0,0,0,0,10,32,3.2,0,1,0,0,,0,3,3.2,3.2,,135,
471,Nick Vannett\VannNi00,SEA,TE,23,8,2,0,0,0,0,0,0,0,,0,4,3,32,10.67,0,3,6.2,4.7,,93,
472,Niles Paul\PaulNi00,WAS,TE,27,8,1,0,0,0,0,0,0,0,,0,2,2,27,13.5,0,3,4.7,3.7,,95,
473,Lee Smith\SmitLe00,OAK,TE,29,4,4,0,0,0,0,0,0,0,,0,6,6,29,4.83,0,3,8.9,5.9,,94,
474,Sean McGrath\McGrSe00,SDG,TE,29,16,5,0,0,0,0,0,0,0,,0,2,2,25,12.5,0,3,4.5,3.5,,96,
475,Jay Prosch\ProsJa00,HOU,RB,24,15,1,0,0,0,0,0,4,9,2.25,0,1,1,6,6,0,2,2.5,2,,145,
476,Damiere Byrd\ByrdDa00,CAR,WR,23,1,0,0,0,0,0,0,0,0,,0,1,1,16,16,0,2,2.6,2.1,,185,
477,Percy Harvin\HarvPe00,BUF,WR,28,2,1,0,0,0,0,0,1,11,11,0,4,2,6,3,0,2,3.7,2.7,,183,
478,Brandon Bolden\BoldBr00,NWE,RB,26,14,0,0,0,0,0,0,1,4,4,0,4,2,15,7.5,0,2,3.9,2.9,,141,
479,Mike Thomas\ThomMi04,LAR,WR,22,15,0,0,0,0,0,0,0,0,,0,9,3,37,12.33,0,2,5.7,3.2,,182,
480,Brenton Bersin\BersBr00,CAR,WR,26,10,0,0,0,0,0,0,0,0,,0,6,2,17,8.5,0,2,3.7,2.7,,184,
481,Devin Smith\SmitDe04,NYJ,WR,24,4,0,0,0,0,0,0,0,0,,0,3,1,20,20,0,2,3,2.5,,181,
482,Griff Whalen\WhalGr00,SDG,WR,26,8,0,0,0,0,0,0,0,0,,0,4,2,22,11,0,2,4.2,3.2,,179,
483,Shane Wynn\WynnSh00,JAX,WR,24,5,0,0,0,0,0,0,2,5,2.5,0,3,1,19,19,0,2,3.4,2.9,,177,
484,Jalston Fowler\FowlJa00,TEN,RB,26,16,7,0,0,0,0,0,1,3,3,0,2,1,14,14,0,2,2.7,2.2,,144,
485,J.D. McKissic\McKiJ.00,SEA,RB,23,1,0,0,0,0,0,0,1,2,2,0,2,2,16,8,0,2,3.8,2.8,,142,
486,James Develin\DeveJa00,NWE,RB,28,16,4,0,0,0,0,0,0,0,,0,6,3,18,6,0,2,4.8,3.3,,143,
487,Cedric Peerman\PeerCe00,CIN,RB,30,6,0,0,0,0,0,0,6,15,2.5,0,1,0,0,,0,2,1.5,1.5,,146,
488,Antonio Andrews\AndrAn00,TEN,RB,25,16,0,0,0,0,0,0,2,15,7.5,0,0,0,0,,0,2,1.5,1.5,,147,
489,Zach Line\LineZa01,MIN,RB,26,15,4,0,0,0,0,0,7,15,2.14,0,3,0,0,,0,2,1.5,1.5,,148,
490,Laquon Treadwell\TreaLa00,MIN,WR,21,9,1,0,0,0,0,0,0,0,,0,3,1,15,15,0,2,2.5,2,,187,
491,Marc Mariani\MariMa00,TEN,WR,29,16,0,0,0,0,0,0,1,15,15,0,0,0,0,,0,2,1.5,1.5,,186,
492,Logan Paulsen\PaulLo00,CHI,TE,29,16,12,0,0,0,0,0,0,0,,0,10,3,15,5,0,2,4.5,3,,101,
493,Ross Travis\TravRo00,KAN,TE,23,6,3,0,0,0,0,0,0,0,,0,6,3,15,5,0,2,4.5,3,,100,
494,Devin Street\StreDe00,IND,WR,25,4,0,0,0,0,0,0,0,0,,0,6,1,20,20,0,2,3,2.5,,180,
495,Cardale Jones\JoneCa01,BUF,QB,24,1,0,6,11,96,0,1,1,-1,-1,0,0,0,0,,0,2,2.7,2.7,,60,
496,Matt McGloin\McGlMa01,OAK,QB,27,4,1,8,15,50,0,0,3,-3,-1,0,0,0,0,,0,2,1.7,1.7,,61,
497,Clay Harbor\HarbCl00,2TM,TE,29,15,2,0,0,0,0,0,0,0,,0,3,3,19,6.33,0,2,4.9,3.4,,98,
498,Cole Wick\WickCo00,DET,TE,23,6,0,0,0,0,0,0,0,0,,0,3,2,18,9,0,2,3.8,2.8,,99,
499,DeAndre Smelter\SmelDe00,SFO,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,23,23,0,2,3.3,2.8,,178,
500,Luke Stocker\StocLu00,TAM,TE,28,12,10,0,0,0,0,0,0,0,,0,8,5,23,4.6,0,2,7.3,4.8,,97,
501,Stepfan Taylor\TaylSt00,ARI,RB,25,15,0,0,0,0,0,0,4,12,3,0,0,0,0,,0,1,1.2,1.2,,151,
502,Terrence Magee\MageTe00,SEA,RB,23,2,0,0,0,0,0,0,3,12,4,0,0,0,0,,0,1,1.2,1.2,,150,
503,Ryan Hewitt\HewiRy00,CIN,RB,25,16,11,0,0,0,0,0,0,0,,0,3,2,13,6.5,0,1,3.3,2.3,,149,
504,David Fales\FaleDa00,CHI,QB,26,1,0,2,5,22,0,0,1,0,0,0,0,0,0,,0,1,0.9,0.9,,62,
505,Chase Daniel\DaniCh00,PHI,QB,30,2,0,1,1,16,0,0,0,0,,0,0,0,0,,0,1,0.6,0.6,,63,
506,Daryl Richardson\RichDa00,PIT,RB,26,3,0,0,0,0,0,0,2,7,3.5,0,0,0,0,,0,1,0.7,0.7,,157,
507,Chris Manhertz\ManhCh00,2TM,TE,24,7,2,0,0,0,0,0,0,0,,0,1,1,10,10,0,1,2,1.5,,108,
508,Paul Lasike\LasiPa00,CHI,RB,26,10,3,0,0,0,0,0,3,8,2.67,0,1,1,3,3,0,1,2.1,1.6,,154,
509,Anthony Sherman\SherAn00,KAN,RB,28,16,3,0,0,0,0,0,0,0,,0,6,4,11,2.75,0,1,5.1,3.1,,152,
510,Derek Carrier\CarrDe00,WAS,TE,26,8,0,0,0,0,0,0,0,0,,0,2,2,10,5,0,1,3,2,,107,
511,Alex Ellis\ElliAl01,JAX,TE,23,6,3,0,0,0,0,0,0,0,,0,4,3,11,3.67,0,1,4.1,2.6,,106,
512,Je'Ron Hamm\HammJe01,SFO,TE,24,5,0,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,1,3.3,2.3,,103,
513,George Farmer\FarmGe02,SEA,RB,23,2,0,0,0,0,0,0,1,1,1,0,3,1,4,4,0,1,1.5,1,,161,
514,Roosevelt Nix\NixxRo01,PIT,RB,24,10,3,0,0,0,0,0,0,0,,0,2,2,5,2.5,0,1,2.5,1.5,,160,
515,MyCole Pruitt\PruiMy00,2TM,TE,24,4,0,0,0,0,0,0,0,0,,0,2,2,13,6.5,0,1,3.3,2.3,,105,
516,Henry Krieger-Coble\KrieHe00,DEN,TE,24,2,0,0,0,0,0,0,0,0,,0,1,1,13,13,0,1,2.3,1.8,,104,
517,Raheem Mostert\MostRa00,2TM,RB,24,3,0,0,0,0,0,0,1,6,6,0,0,0,0,,0,1,0.6,0.6,,159,
518,Gerald Christian\ChriGe00,BUF,TE,25,3,0,0,0,0,0,0,0,0,,0,2,1,14,14,0,1,2.4,1.9,,102,
519,Stevan Ridley\RidlSt00,ATL,RB,27,1,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,1,0.7,0.7,,158,
520,Joe Banyard\BanyJo00,JAX,RB,28,1,0,0,0,0,0,0,2,7,3.5,0,0,0,0,,0,1,0.7,0.7,,156,
521,Lorenzo Taliaferro\TaliLo00,BAL,RB,25,3,0,0,0,0,0,0,1,0,0,0,3,3,10,3.33,0,1,4,2.5,,155,
522,Bronson Hill\HillBr01,JAX,RB,23,3,0,0,0,0,0,0,2,11,5.5,0,1,0,0,,0,1,1.1,1.1,,153,
523,Matthew Mulligan\MullMa00,DET,TE,31,8,0,0,0,0,0,0,0,0,,0,1,1,8,8,0,1,1.8,1.3,,109,
524,Jeremy Butler\ButlJe01,SDG,WR,25,4,0,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,1,3.1,2.1,,189,
525,Rashad Greene\GreeRa00,JAX,WR,24,8,0,0,0,0,0,0,0,0,,0,8,5,32,6.4,0,1,7.2,3.7,,188,
526,Paul McRoberts\McRoPa00,LAR,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,1,1.6,1.1,,193,
527,Jared Abbrederis\AbbrJa00,GNB,WR,26,5,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,1,1.8,1.3,,191,
528,Rashad Ross\RossRa00,WAS,WR,26,5,0,0,0,0,0,0,0,0,,0,1,1,8,8,0,1,1.8,1.3,,192,
529,Tony Washington\WashTo00,JAX,WR,26,2,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,1,1.9,1.4,,190,
530,Dezmin Lewis\LewiDe02,BUF,,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,204,
531,Kasen Williams\WillKa02,SEA,,,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,202,
532,Demarcus Robinson\RobiDe01,KAN,,22,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,198,
533,Joique Bell\BellJo01,2TM,RB,30,7,0,0,0,0,0,0,3,6,2,0,1,1,-2,-2,0,,1.4,0.9,,162,
534,Jake Lampman\LampJa00,NOR,,23,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,195,
535,Isaiah Burse\BursIs01,SDG,,25,9,1,0,0,0,0,0,0,0,,0,4,0,0,,0,,,,,205,
536,Russell Hansbrough\HansRu00,TAM,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,169,
537,Brandon Burks\BurkBr00,NYJ,RB,23,1,0,0,0,0,0,0,2,-4,-2,0,0,0,0,,0,,-0.4,-0.4,,170,
538,Donteea Dye\DyexDo00,TAM,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,201,
539,Mario Alford\AlfoMa00,CLE,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,200,
540,Vince Mayle\MaylVi00,DAL,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,203,
541,Mark Sanchez\SancMa00,DAL,QB,30,2,0,10,18,93,0,2,4,-2,-0.5,0,0,0,0,,0,,1.5,1.5,,69,
542,Chad Henne\HennCh01,JAX,QB,31,1,0,0,0,0,0,0,1,-2,-2,0,0,0,0,,0,,-0.2,-0.2,,68,
543,Kellen Clemens\ClemKe00,SDG,QB,33,12,0,0,1,0,0,0,2,-1,-0.5,0,0,0,0,,0,,-0.1,-0.1,,67,
544,A.J. McCarron\McCaA.00,CIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,66,
545,Matt Schaub\SchaMa00,ATL,QB,35,5,0,1,3,16,0,0,2,-2,-1,0,0,0,0,,0,,0.4,0.4,,64,
546,Jordan Payton\PaytJo00,CLE,WR,23,4,0,0,0,0,0,0,0,0,,0,3,1,3,3,0,,1.3,0.8,,194,
547,Joe Webb\WebbJo00,CAR,QB,30,14,0,0,0,0,0,0,0,0,,0,3,1,3,3,0,,1.3,0.8,,65,
548,Geremy Davis\DaviGe00,SDG,,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,,,,206,
549,Eric Weems\WeemEr00,ATL,,31,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,199,
550,Tony Lippett\LippTo00,MIA,,24,16,13,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,196,
551,Joe Kerridge\KerrJo00,GNB,RB,24,8,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,,,,168,
552,Khiry Robinson\RobiKh00,NYJ,RB,27,1,0,0,0,0,0,0,8,22,2.75,0,0,0,0,,0,,1.2,0.2,,167,
553,Jim Dray\DrayJi00,2TM,,30,6,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,126,
554,Cory Harkey\HarkCo00,LAR,,26,12,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,121,
555,Khari Lee\LeexKh00,DET,,24,8,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,118,
556,Maxx Williams\WillMa04,BAL,,22,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,120,
557,Ryan O'Malley\OMalRy00,OAK,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,119,
558,Kellen Davis\DaviKe01,NYJ,,31,8,7,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,113,
559,Clark Harris\HarrCl20,CIN,,32,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,117,
560,Braedon Bowman\BowmBr00,NYJ,,22,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,123,
561,Hakeem Valles\VallHa00,ARI,,24,11,1,0,0,0,0,0,0,0,,0,2,0,0,,0,,,,,125,
562,Asante Cleveland\ClevAs00,SDG,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,122,
563,Chase Coffman\CoffCh00,IND,,30,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,116,
564,Randall Telfer\TelfRa00,CLE,TE,24,14,5,0,0,0,0,0,0,0,,0,7,2,4,2,0,,2.4,1.4,,110,
